"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,41,"CMR","Cameroon",1,"Adamaoua","Région","Region",NA,"Adamoua|Adamaua|Adamawa"
2,41,"CMR","Cameroon",2,"Centre","Région","Region",NA,"Central"
3,41,"CMR","Cameroon",3,"Est","Région","Region",NA,"East"
4,41,"CMR","Cameroon",4,"Extrême-Nord","Région","Region",NA,"Extreme-North"
5,41,"CMR","Cameroon",5,"Littoral","Région","Region",NA,"Litoral"
6,41,"CMR","Cameroon",6,"Nord-Ouest","Région","Region",NA,"North-West"
7,41,"CMR","Cameroon",7,"Nord","Région","Region",NA,"North"
8,41,"CMR","Cameroon",8,"Ouest","Région","Region",NA,"West"
9,41,"CMR","Cameroon",9,"Sud-Ouest","Région","Region",NA,"South-West"
10,41,"CMR","Cameroon",10,"Sud","Région","Region",NA,"South"
