"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,63,"COD","Democratic Republic of the Congo",1,"Équateur",1,"Équateur","Sous-régions","Sub-region",NA,NA
2,63,"COD","Democratic Republic of the Congo",1,"Équateur",2,"Mbandaka","Sous-régions","Sub-region",NA,NA
3,63,"COD","Democratic Republic of the Congo",1,"Équateur",3,"Mongala","Sous-régions","Sub-region",NA,NA
4,63,"COD","Democratic Republic of the Congo",1,"Équateur",4,"Nord-Ubangi","Sous-régions","Sub-region",NA,NA
5,63,"COD","Democratic Republic of the Congo",1,"Équateur",5,"Sud-Ubangi","Sous-régions","Sub-region",NA,NA
6,63,"COD","Democratic Republic of the Congo",1,"Équateur",6,"Tshuapa","Sous-régions","Sub-region",NA,NA
7,63,"COD","Democratic Republic of the Congo",2,"Bandundu",7,"Bandundu","Sous-régions","Sub-region",NA,NA
8,63,"COD","Democratic Republic of the Congo",2,"Bandundu",8,"Kwango","Sous-régions","Sub-region",NA,NA
9,63,"COD","Democratic Republic of the Congo",2,"Bandundu",9,"Kwilu","Sous-régions","Sub-region",NA,NA
10,63,"COD","Democratic Republic of the Congo",2,"Bandundu",10,"Mai-Ndombe","Sous-régions","Sub-region",NA,NA
11,63,"COD","Democratic Republic of the Congo",3,"Bas-Congo",11,"Bas-Fleuve","Sous-régions","Sub-region",NA,NA
12,63,"COD","Democratic Republic of the Congo",3,"Bas-Congo",12,"Boma","Sous-régions","Sub-region",NA,NA
13,63,"COD","Democratic Republic of the Congo",3,"Bas-Congo",13,"Cataractes","Sous-régions","Sub-region",NA,NA
14,63,"COD","Democratic Republic of the Congo",3,"Bas-Congo",14,"Lukaya","Sous-régions","Sub-region",NA,NA
15,63,"COD","Democratic Republic of the Congo",3,"Bas-Congo",15,"Matadi","Sous-régions","Sub-region",NA,NA
16,63,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental",16,"Kananga","Sous-régions","Sub-region",NA,NA
17,63,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental",17,"Kasaï","Sous-régions","Sub-region",NA,NA
18,63,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental",18,"Lulua","Sous-régions","Sub-region",NA,NA
19,63,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",19,"Kabinda","Sous-régions","Sub-region",NA,NA
20,63,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",20,"Mbuji-Mayi","Sous-régions","Sub-region",NA,NA
21,63,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",21,"Sankuru","Sous-régions","Sub-region",NA,NA
22,63,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",22,"Tshilenge","Sous-régions","Sub-region",NA,NA
23,63,"COD","Democratic Republic of the Congo",6,"Katanga",23,"Haut-Lomami","Sous-régions","Sub-region",NA,NA
24,63,"COD","Democratic Republic of the Congo",6,"Katanga",24,"Haut-Shaba","Sous-régions","Sub-region",NA,NA
25,63,"COD","Democratic Republic of the Congo",6,"Katanga",25,"Kolwezi","Sous-régions","Sub-region",NA,NA
26,63,"COD","Democratic Republic of the Congo",6,"Katanga",26,"Lualaba","Sous-régions","Sub-region",NA,NA
27,63,"COD","Democratic Republic of the Congo",6,"Katanga",27,"Lubumbashi","Sous-régions","Sub-region",NA,NA
28,63,"COD","Democratic Republic of the Congo",6,"Katanga",28,"Tanganika","Sous-régions","Sub-region",NA,NA
29,63,"COD","Democratic Republic of the Congo",7,"Kinshasa City",29,"Kinshasa","Sous-régions","Sub-region",NA,NA
30,63,"COD","Democratic Republic of the Congo",8,"Kivu",30,"Bukavu","Sous-régions","Sub-region",NA,NA
31,63,"COD","Democratic Republic of the Congo",8,"Kivu",31,"Maniema","Sous-régions","Sub-region",NA,NA
32,63,"COD","Democratic Republic of the Congo",8,"Kivu",32,"Nord-Kivu","Sous-régions","Sub-region",NA,NA
33,63,"COD","Democratic Republic of the Congo",8,"Kivu",33,"Sud-Kivu","Sous-régions","Sub-region",NA,NA
34,63,"COD","Democratic Republic of the Congo",9,"Orientale",34,"Bas-Uele","Sous-régions","Sub-region",NA,NA
35,63,"COD","Democratic Republic of the Congo",9,"Orientale",35,"Haut-Uele","Sous-régions","Sub-region",NA,NA
36,63,"COD","Democratic Republic of the Congo",9,"Orientale",36,"Ituri","Sous-régions","Sub-region",NA,NA
37,63,"COD","Democratic Republic of the Congo",9,"Orientale",37,"Kisangani","Sous-régions","Sub-region",NA,NA
38,63,"COD","Democratic Republic of the Congo",9,"Orientale",38,"Tshopo","Sous-régions","Sub-region",NA,NA
